0.9 0.224 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.84 0.235 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.78 0.299 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.77 0.214 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.69 0.21 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.92 0.303 "Keller-et-al" 2011 "Grimstorp-Svanshals"
1 0.4 "Keller-et-al" 2011 "Grimstorp-Svanshals"
1.17 0.284 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.86 0.261 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.95 0.364 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.83 0.214 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.84 0.289 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.73 0.108 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.71 0.19 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.58 0.163 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.64 0.146 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.58 0.117 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.65 0.098 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.63 0.176 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.89 0.155 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.64 0.182 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.67 0.184 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.64 0.136 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.73 0.213 "Keller-et-al" 2011 "Grimstorp-Svanshals"
0.5 0.09 "Abbasi-et-al" 2012 "fine-grained"
0.8 0.17 "Abbasi-et-al" 2012 "fine-grained"
0.9 0.22 "Abbasi-et-al" 2012 "fine-grained"
0.6 0.12 "Abbasi-et-al" 2012 "fine-grained"
0.64 0.15 "Abbasi-et-al" 2012 "fine-grained"
1.02 0.18 "Abbasi-et-al" 2012 "fine-grained"
0.6 0.1 "Abbasi-et-al" 2012 "fine-grained"
0.71 0.12 "Abbasi-et-al" 2012 "fine-grained"
1.07 0.24 "Abbasi-et-al" 2012 "fine-grained"
0.55 0.07 "Abbasi-et-al" 2012 "fine-grained"
0.81 0.19 "Abbasi-et-al" 2012 "fine-grained"
1.13 0.38 "Abbasi-et-al" 2012 "fine-grained"
0.13 0.08 "Abbasi-et-al" 2012 "fine-grained"
0.47 0.07 "Abbasi-et-al" 2012 "fine-grained"
0.66 0.14 "Abbasi-et-al" 2012 "fine-grained"
0.57 0.09 "Abbasi-et-al" 2012 "fine-grained"
0.67 0.16 "Abbasi-et-al" 2012 "fine-grained"
1.07 0.18 "Abbasi-et-al" 2012 "fine-grained"
0.52 0.08 "Abbasi-et-al" 2012 "fine-grained"
0.68 0.17 "Abbasi-et-al" 2012 "fine-grained"
1.02 0.21 "Abbasi-et-al" 2012 "fine-grained"
0.86 0.21 "Abbasi-et-al" 2012 "fine-grained"
1.66 0.51 "Abbasi-et-al" 2012 "fine-grained"
2.43 0.6 "Abbasi-et-al" 2012 "fine-grained"
0.68 0.1 "Abbasi-et-al" 2012 "fine-grained"
1 0.19 "Abbasi-et-al" 2012 "fine-grained"
1.35 0.26 "Abbasi-et-al" 2012 "fine-grained"
0.74 0.1 "Abbasi-et-al" 2012 "fine-grained"
1.21 0.32 "Abbasi-et-al" 2012 "fine-grained"
